Mission ID,Mission Path,Success (PRED),Domain,Total Goals,Type quantity,Success (PLAN),CPU time,Total time,Total Distance
106,"Go to picture ['base_1', 'region_11'] 584.554
Take Image ['region_11'] 285.714
Go to picture ['region_11', 'region_1'] 962.086
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.02,2736934,9579269
107,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_11'] 962.086
Take Image ['region_11'] 285.714
Go to base ['region_11', 'base_2'] 572.783
",0,journal,3,2,1,0.02,2725163,9538.0705
108,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_11'] 962.086
Take Image ['region_11'] 285.714
Go to base ['region_11', 'base_3'] 248.221
",0,journal,3,2,1,0.04,2400601,8402.103500000001
109,"Go to picture ['base_1', 'region_11'] 584.554
Take Image ['region_11'] 285.714
Go to picture ['region_11', 'region_1'] 962.086
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_4'] 607.420
",0,journal,3,2,1,0.02,2726.4880000000003,9542708
110,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_12'] 1012.520
Take Image ['region_12'] 285.714
",0,journal,2,1,1,0.04,2201814,7706.348999999999
111,"Go to picture ['base_1', 'region_12'] 574.157
Take Image ['region_12'] 285.714
Go to picture ['region_12', 'region_1'] 1012.520
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.04,2776971,9719.3985
112,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_12'] 1012.520
Take Image ['region_12'] 285.714
Go to base ['region_12', 'base_2'] 562.349
",0,journal,3,2,1,0.02,2765163,9678.0705
113,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_12'] 1012.520
Take Image ['region_12'] 285.714
Go to base ['region_12', 'base_3'] 165.630
",0,journal,3,2,1,0.04,2368444,8289554
114,"Go to picture ['base_1', 'region_12'] 574.157
Take Image ['region_12'] 285.714
Go to picture ['region_12', 'region_1'] 1012.520
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_4'] 607.420
",0,journal,3,2,1,0.02,2766525,9682.8375
115,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_3'] 386.620
Take Image ['region_3'] 285.714
",1,journal,2,1,1,0.04,1313.1309999999999,4595.9585
116,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_3'] 386.620
Take Image ['region_3'] 285.714
Go to base ['region_3', 'base_1'] 653.494
",1,journal,3,2,1,0.04,1967625,6886.6875
117,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_3'] 386.620
Take Image ['region_3'] 285.714
Go to base ['region_3', 'base_2'] 649.546
",1,journal,3,2,1,0.04,1963677,6872.8695
118,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_3'] 386.620
Take Image ['region_3'] 285.714
Go to base ['region_3', 'base_3'] 904.983
",0,journal,3,2,1,0.04,2219.1139999999996,7766.8989999999985
119,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_3'] 386.620
Take Image ['region_3'] 285.714
Go to base ['region_3', 'base_4'] 212.943
",1,journal,3,2,1,0.04,1527.0739999999998,5344.758999999999
120,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_4'] 748.331
Take Image ['region_4'] 285.714
",1,journal,2,1,1,0.02,1674842,5861947
121,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_4'] 748.331
Take Image ['region_4'] 285.714
Go to base ['region_4', 'base_1'] 993.089
",0,journal,3,2,1,0.02,2668931,9341.2585
122,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_4'] 748.331
Take Image ['region_4'] 285.714
Go to base ['region_4', 'base_2'] 990.883
",0,journal,3,2,1,0.04,2666.7250000000004,9333.537500000002
123,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_4'] 748.331
Take Image ['region_4'] 285.714
Go to base ['region_4', 'base_3'] 1242.123
",0,journal,3,2,1,0.02,2917965,10212.8775
